Title,Summary,Themes,Genre,Author
1984,A dystopian novel about a totalitarian regime and surveillance society.,"Dystopia, Surveillance, Totalitarianism",Fiction,George Orwell
To Kill a Mockingbird,A story of racial injustice and moral growth in the American South.,"Racism, Justice, Morality",Fiction,Harper Lee
Pride and Prejudice,"A romantic novel about manners, upbringing, morality, and marriage in British society.","Love, Social Class, Marriage",Fiction,Jane Austen
Moby Dick,A seafaring narrative about obsession and revenge on a giant white whale.,"Obsession, Revenge, Nature",Fiction,Herman Melville
The Great Gatsby,A critique of the American Dream through the life of Jay Gatsby.,"Wealth, Love, American Dream",Fiction,F. Scott Fitzgerald
War and Peace,An epic historical novel about Russian society during the Napoleonic Wars.,"War, Society, Family",Historical Fiction,Leo Tolstoy
The Catcher in the Rye,A young man's journey through life and his disdain for adulthood and hypocrisy.,"Identity, Adolescence, Rebellion",Fiction,J.D. Salinger
Brave New World,A futuristic novel exploring a utopian society sustained by scientific advancements and control.,"Control, Science, Freedom",Science Fiction,Aldous Huxley
Crime and Punishment,"A psychological exploration of crime, guilt, and redemption in 19th-century Russia.","Crime, Guilt, Redemption",Fiction,Fyodor Dostoevsky
Jane Eyre,"A young woman's journey of self-discovery, love, and independence.","Love, Independence, Self-Discovery",Fiction,Charlotte Brontë
Animal Farm,An allegorical novella reflecting on the Russian Revolution and its aftermath.,"Power, Corruption, Revolution",Fiction,George Orwell
The Hobbit,A fantasy adventure about a hobbit's journey to reclaim a lost treasure.,"Adventure, Courage, Friendship",Fantasy,J.R.R. Tolkien
The Lord of the Rings,"An epic saga of friendship, courage, and the fight against darkness in Middle-earth.","Good vs Evil, Loyalty, Sacrifice",Fantasy,J.R.R. Tolkien
Harry Potter and the Sorcerer's Stone,A young wizard's introduction to the magical world and his destiny.,"Magic, Friendship, Courage",Fantasy,J.K. Rowling
A Tale of Two Cities,A historical novel set during the French Revolution.,"Revolution, Sacrifice, Justice",Historical Fiction,Charles Dickens
The Odyssey,An ancient Greek epic poem about Odysseus's journey home after the Trojan War.,"Adventure, Perseverance, Loyalty",Epic Poetry,Homer
Frankenstein,"A Gothic tale of a scientist who creates a living being, leading to tragedy.","Science, Creation, Ethics",Gothic Fiction,Mary Shelley
Wuthering Heights,A story of passionate but doomed love on the Yorkshire moors.,"Love, Revenge, Isolation",Gothic Fiction,Emily Brontë
Great Expectations,The story of an orphan's growth and search for identity in Victorian England.,"Identity, Ambition, Society",Fiction,Charles Dickens
The Alchemist,A philosophical tale about following one's dreams and discovering one's destiny.,"Dreams, Destiny, Self-Discovery",Fiction,Paulo Coelho
